name,address,longitude_wgs84,latitude_wgs84
中国人民解放军总医院(三O一医院),海淀区复兴路28号,116.27108953321046,39.90357144159224
中国人民解放军三O二医院,丰台区丰台路26号,116.27995520693412,39.857361803237765
中国人民解放军三O四医院,海淀区阜成路51号,116.29847558366927,39.923230438405255
中国人民解放军第三O五医院,西城区文津街甲13号,116.37800119895562,39.923143818024656
中国人民解放军第三O六医院,朝阳区德外安翔北路9号,116.37181862536275,39.99473650525557
中国人民解放军三O七医院 军事医学院附属医院,海淀区北太平路2号,116.26634531204513,39.901637508306926
中国人民解放军第三O九医院,海淀区黑山扈路甲17号,116.25989422471945,40.02093571682549
海军总医院,海淀区阜成路6号,116.31695521430726,39.921421610044206
空军总医院,海淀区阜成路30号,116.29490068673962,39.9204604676731
北京军区总医院,东城区东四六条南门仓5号,116.42289392815148,39.92948178488063
武警总医院,海淀区永定路69号,116.25748070700357,39.90958818768653
中国人民解放军第二炮兵总医院(原中国人民解放军二六二医院),西城区新外大街16号,117.17996116704522,39.11680176876786
中国人民解放军四六六医院,海淀区昌运宫15号,116.30071766444325,39.939732546942885
天津市第一中心医院（第一中心医院）,天津市南开区复康路24号,117.1455262401615,39.09999267215929
天津市眼科医院,天津市和平区甘肃路4号,117.17878980939736,39.123422765833425
天津市长征医院（长征医院）,天津市红桥区北马路354号（原二中心医院原址）,117.17104315640178,39.1459369881134
天津市第三医院,天津市河北区江都路24号,117.23131174321063,39.157041454716975
天津市中心妇产科医院,天津市和平区营口道210号,117.18801243637868,39.115599481153225
天津医院（天津骨科医院）,天津市河西区解放南路406号,117.21549609035758,39.10952654576153
天津中医学院第一附属医院,天津市南开区鞍山西道314号,117.15853389219943,39.11360224019567
天津医科大学第三医院,天津市河西区马场道91号,117.20765017732668,39.11033338275518
天津长征医院,天津市红桥区北马路354号,117.17104315640178,39.1459369881134
天津市整形外科医院,天津市和平区大沽路75号（天津市口腔医院院内）,117.19930347182216,39.12664289333402
天津医科大学总医院（医科大总医院）,天津市和平区鞍山道154号,117.17996116704522,39.11680176876786
天津市脑系科中心医院,天津市河西区气象台路122号,117.17555908479666,39.088867807408015
天津市安定医院,天津市河西区吴家窑大街39号,117.1825373390245,39.09746450190649
天津中医药大学第一附属医院（全国针灸临床研究中心、中医药大学一附院）,天津市南开区鞍山西道314号,117.15809963051741,39.11433939742047
天津市人民医院,天津市红桥区芥园道130号,117.1503747586244,39.14596774286768
天津市儿童医院,天津市河西区马场道225号,117.19071718798968,39.10034476226116
天津市口腔医院,天津市和平区大沽北路75号,117.1996812242017,39.12669269438002
